# FIX-956 + FIX-939 — merge-stub marker conversion manifest (prod, 2026-09-05)
# 86 stubs carrying the legacy scalar 'merged_fec_candidate_id'
# 86 CONVERT (exactly one elected survivor) / 0 REFUSED (0 or >1)
#
# REVERSAL RECIPE — source_ids_before is the verbatim pre-write value of each row.
# To undo a single row:
#   UPDATE public.officials SET source_ids = '<source_ids_before>'::jsonb WHERE id = '<stub_id>';
# To undo the whole set, replay that statement for every CONVERT row in this file.
#
stub_id	stub_name	stub_tier	stub_is_active	retired_fec_candidate_id	survivor_id	survivor_name	n_survivors	action	refusal_reason	source_ids_before
61a21fdd-1a35-4efc-b0b8-29d82c486e29	James Banks	candidate	true	S4IN00196	ef1811ae-882c-428e-b904-9ca6f2a48681	Jim Banks	1	CONVERT		{"merged_fec_candidate_id": "S4IN00196"}
123e21fe-6456-403b-a3e2-e0c628d935be	James Hill	candidate	true	H4AR02141	4f9c372a-f214-4d51-b287-815244a9f1f7	J. French Hill	1	CONVERT		{"merged_fec_candidate_id": "H4AR02141"}
a1762fd3-329b-4136-b113-7d2873bb743a	James Johnson	candidate	true	H6LA04138	3f355499-5163-4da0-a460-6d3e8b90cd49	Mike Johnson	1	CONVERT		{"merged_fec_candidate_id": "H6LA04138"}
d6e9f954-5926-4a05-a675-70238e129585	James Jordan	candidate	true	H6OH04082	b06aff16-5cf1-4422-a662-c3dcde2417e6	Jim Jordan	1	CONVERT		{"merged_fec_candidate_id": "H6OH04082"}
c2d0bb8a-f3b8-4a66-b988-c1874f9ddadc	Jim Himes	candidate	true	H8CT04172	57f66dbb-c1ee-4bf1-81fa-197c167ec1af	James A. Himes	1	CONVERT		{"merged_fec_candidate_id": "H8CT04172"}
afc73786-a5a3-447b-b97b-5d1e2943aadc	John Bergman	candidate	true	H6MI01226	14083a6d-5b92-4ee7-b96f-2b7a4acd978a	Jack Bergman	1	CONVERT		{"merged_fec_candidate_id": "H6MI01226"}
087ef1db-6efb-4491-92d8-6b5af183fdd8	John Ellzey	candidate	true	H8TX06266	46d45b0e-bdac-46e1-9a78-e2227a8ecc48	Jake Ellzey	1	CONVERT		{"merged_fec_candidate_id": "H8TX06266"}
36259af8-f30e-441a-9461-7644024249be	John Kelly	candidate	true	H6MS01131	3ec80e8d-8abd-4a75-bed0-b3cad8bcebc4	Trent Kelly	1	CONVERT		{"merged_fec_candidate_id": "H6MS01131"}
7938e99a-66c6-4b69-ae04-c27b4f1360ad	John Moolenaar	candidate	true	H4MI04126	8efa0cd9-ebe9-4318-abc7-1bc7885cd490	John R. Moolenaar	1	CONVERT		{"merged_fec_candidate_id": "H4MI04126"}
03820b81-1b02-4e40-9065-19b1e1f5a6dc	John Reed	candidate	true	S6RI00163	52bce3fa-b134-4e85-abb5-299318fb9d48	Jack Reed	1	CONVERT		{"merged_fec_candidate_id": "S6RI00163"}
b5f2847e-b402-4afa-8ea2-6e63ad16d190	John Rutherford	candidate	true	H6FL04105	c6c13f41-033b-41b5-b911-b4a797ba6204	John H. Rutherford	1	CONVERT		{"merged_fec_candidate_id": "H6FL04105"}
34297520-67dd-421a-b7be-fe7a567028f8	Joseph Courtney	candidate	true	H2CT02112	3452cc58-de2a-40a4-992b-67eebaf23796	Joe Courtney	1	CONVERT		{"merged_fec_candidate_id": "H2CT02112"}
95952e73-0fea-4a3b-bbb7-ce93388de1db	Joseph Neguse	candidate	true	H8CO02160	e07587df-5a7e-4888-8090-842d03f04dd2	Joe Neguse	1	CONVERT		{"merged_fec_candidate_id": "H8CO02160"}
ab186922-00fb-400e-bbe6-22622eac80bb	L Duckworth	candidate	true	S6IL00292	9e6b66e1-09d5-49cf-83dd-bff1a8700ea7	Tammy Duckworth	1	CONVERT		{"merged_fec_candidate_id": "S6IL00292"}
2e247195-7c36-4d72-a578-a6a998d5f05a	Laurel Lee	candidate	true	H2FL15241	c1807a26-31f4-4830-a8f2-7e7270f0a822	Laurel M. Lee	1	CONVERT		{"merged_fec_candidate_id": "H2FL15241"}
