holder_id	full_name	role_title	tier	jurisdiction	holder_fec_id	verdict	holder_rows	shared_rows	stale_rows	stale_usd	stale_share	live_rows_newer_than_contamination	owner_name	owner_fec_id	owner_role
412719f4-2ddc-4bd3-bbbb-f0a3caef98b5	Kelsey Crowe	Council Member	elected	SF	H0TN01084	REFUSE-weak-overlap	11	11	11	21500.00	1.0000	0	Dewey Crowe	H0TN01084	Candidate for Representative
8367cb81-cce3-4798-8d35-fca08892f590	Scotty Moore	Candidate for Representative	candidate	FL	H2FL09228	REFUSE-weak-overlap	47	6	6	21000.00	1.0000	2	Barry Moore	H8AL02171	Representative
a37fa8bf-85b1-42f2-9245-31755020235c	Robert Casey	Candidate for Senator	candidate	PA	S6PA00217	REFUSE-weak-overlap	18853	4	3	21000.00	0.7500	1015	Stephen Casey	H4RI01232	Candidate for Representative
18807376-a9bb-4a3c-bb6d-23211083147e	Drew Johnson	Candidate for Representative	candidate	NV	H4NV03167	REFUSE-weak-overlap	316	12	12	20870.00	1.0000	37	Mike Johnson	H6LA04138	Representative
7eb987b1-7689-46f5-af1d-65fa1f82617a	Cherlynn Stevenson	Candidate for Representative	candidate	KY	H6KY06150	REFUSE-weak-overlap	508	15	11	20293.00	0.7333	145	Pamela Stevenson	S6KY00211	Candidate for Senator
d277388a-1207-49b5-ad69-6afab5957089	Sandra O'Connor	Federal Judge	elected	US		REFUSE-weak-overlap	3	2	2	20250.00	1.0000	1	Kevin O'Connor	S0MA00232	Candidate for Senator
e7b65345-46b6-4254-a352-1810b7d00967	Tracey Mann	Representative	elected	KS	H0KS01123	REFUSE-weak-overlap	1197	24	15	20250.00	0.6250	928	Bethany Mann	H2MO03167	Candidate for Representative
e7643b26-a57c-490e-88e7-9e4e6a78ac62	Allen Waters	Candidate for Representative	candidate	RI	H2RI01202	REFUSE-weak-overlap	14	14	11	20010.00	0.7857	3	Maxine Waters	H4CA23011	Representative
99f3b709-4c91-47ab-895e-1afb2f7060e5	Robert Gibbs	Candidate for Representative	candidate	OH	H0OH18077	REFUSE-weak-overlap	260	5	4	20000.00	0.8000	9	John Gibbs	H2MI03197	Candidate for Representative
c0af0396-bf73-47e5-8e5d-291d3122ef68	Mark Harris	Candidate for Representative	candidate	NC	H6NC09200	REFUSE-weak-overlap	55	11	2	20000.00	0.1818	24	Andy Harris	H8MD01094	Representative
d32f3e0a-0fbd-4da1-986a-ef2c59f87d31	John Lujan	Candidate for Representative	candidate	TX	H6TX35053	REFUSE-weak-overlap	159	4	3	20000.00	0.7500	152	Ben Lujan	S0NM00058	Candidate for Senator
b480edce-9f7f-424f-aed3-6e4a90be0c7c	Joe Cunningham	Candidate for Representative	candidate	SC	H8SC01116	REFUSE-weak-overlap	114	15	7	19750.00	0.4667	54	Cal Cunningham	S0NC00202	Candidate for Senator
45bcff8a-7db1-4fcf-8607-f4edfb4bad2e	Britt Grant	Federal Judge	elected	US		REFUSE-weak-overlap	27	26	26	19619.00	1.0000	0	Madaris Grant	H6OH08364	Candidate for Representative
c3b5b52a-e783-494e-8e18-58a0b7372022	Jennifer Adams	Candidate for Representative	candidate	FL	H4FL07137	REFUSE-weak-overlap	127	4	3	19500.00	0.7500	30	Alma S. Adams	H4NC12100	Representative
aad3f555-b5bf-4a9c-bfd2-cbbb025a6623	Max Rose	Candidate for Representative	candidate	NY	H8NY11113	REFUSE-low-share	292	292	2	19500.00	0.0068	130	John W. Rose	H8TN06094	Representative
f7d45f03-25a0-4c71-8796-6fc629aa82d3	Susan Davis	Candidate for Representative	candidate	CA	H0CA49055	REFUSE-weak-overlap	50	31	8	19500.00	0.2581	5	Danny K. Davis	H4IL07037	Representative
