# FIX-1106 emit-set residue manifest -- prod -- generated 2026-09-22T04:22:42.006Z
# cycle=2026 source=fec_bulk_indiv run_id=748aef69-4dd5-5cf9-bd75-570f482bc8dc complete_at=2026-09-21 00:20:29.915408+00
# emit set 1,015,185 keys; slice 1,059,817 rows / $1,314,241,322
# DROPPED-OUT 36 recipients / 19397 rows / $31,130,142
# PARTIAL     427 recipients / 25235 rows / $36,181,097
# This file is an AUTHORISATION, not a description. The apply re-checks every
# row-level fact keyed on these ids and SKIPS anything that grew since.
class	to_type	to_id	name	rows	cents	last_write	emitted_rows
PARTIAL	official	2be7bf0a-99d9-452a-8d54-595ff0bd94be	Abdul El-Sayed	167	20067700	2026-08-24 04:39:42.54198+00	7149
PARTIAL	official	eb63b46f-9758-410e-ab7c-ead2f98cefa9	Jonathan L. Jackson	152	19555000	2026-05-14 22:55:23.565666+00	148
PARTIAL	official	42782d83-4638-403d-953d-12d48fdb913d	Mark Teixeira	43	18900000	2026-08-09 16:42:19.998247+00	335
PARTIAL	official	3e5baf9a-3f85-4213-8cff-56097738cac1	Blake Gendebien	233	18336000	2026-07-27 07:36:40.680475+00	3074
PARTIAL	official	81acd3f5-d2c2-49ce-b5c9-279270b1fab4	Young Kim	7	17864600	2026-07-27 07:32:19.610806+00	3530
PARTIAL	official	2f4dd5a4-20f4-4c65-9a73-0479c432670d	Haley Stevens	88	17615000	2026-07-27 07:35:31.679266+00	5033
DROPPED-OUT	official	ee4b5b14-6d76-4ec4-998b-a66a0a4e9ffe	Harriet M. Hageman	150	17440900	2026-05-25 07:25:14.069004+00	0
PARTIAL	official	fca6bb66-7b1a-44d1-a108-3169e885c3ef	Danny K. Davis	113	17144500	2026-05-11 03:17:58.192847+00	39
DROPPED-OUT	official	9eead2c7-04cb-4793-bd15-cc868f310523	Reid Rasner	192	16984900	2026-08-24 04:44:31.170693+00	0
PARTIAL	official	d7115e32-1762-4b24-8bf0-dc19baebc024	Micah Lasher	64	16575000	2026-06-28 07:50:41.484935+00	1471
PARTIAL	official	a8d4fc51-6a11-465a-bd95-5153ddfa8d7a	Johnny Olszewski	60	15918300	2026-06-28 07:22:46.680255+00	526
PARTIAL	official	fed7caaa-0d38-45a8-a7f9-20ea8cfe4fb9	Glenn Ivey	123	14930000	2026-09-14 23:40:52.049017+00	244
DROPPED-OUT	official	4b895cef-abf2-41a3-863b-77d61444f1c1	Michael Blake	159	14708600	2026-05-17 06:34:33.899032+00	0
PARTIAL	official	b8f492a2-47cc-4101-820e-a727de36bedb	Stephen F. Lynch	181	14518300	2026-05-25 07:25:14.069004+00	465
DROPPED-OUT	official	04d5600a-3320-4564-8c9c-73caa47b5ebf	James Lally	195	13765200	2026-08-24 04:44:31.170693+00	0
PARTIAL	official	64c31391-3064-4ac4-9e2a-0de4e3000e76	Troy E. Nehls	52	13053100	2026-05-11 03:17:58.192847+00	115
PARTIAL	official	768815ff-08e9-47ac-9079-3ddf44fbad0a	Patty Murray	59	12805000	2026-07-06 06:45:37.356619+00	1977
