# FIX-1106 emit-set residue manifest -- prod -- generated 2026-09-22T04:26:06.156Z
# cycle=2026 source=fec_bulk_pac run_id=2fe769fb-8307-5b02-9657-9799dfcc44ea complete_at=2026-09-20 22:54:52.472768+00
# emit set 112,592 keys; slice 114,893 rows / $440,080,672
# DROPPED-OUT 18 recipients / 315 rows / $1,290,240
# PARTIAL     194 recipients / 1986 rows / $7,811,207
# This file is an AUTHORISATION, not a description. The apply re-checks every
# row-level fact keyed on these ids and SKIPS anything that grew since.
class	to_type	to_id	name	rows	cents	last_write	emitted_rows
PARTIAL	official	f7ca909b-38d6-408a-a045-4bd6c6c8e840	Robert F. Onder	21	3200000	2026-05-02 22:37:12.965096+00	113
DROPPED-OUT	official	75457ef3-f40c-47d3-82d7-51b6333ceb8e	Madison Sheahan	7	3000000	2026-07-13 05:46:15.729566+00	0
PARTIAL	official	41e26491-c24f-43f0-83b9-455cfd6340cc	Patrick Ryan	4	2800000	2026-09-13 22:55:47.275862+00	114
PARTIAL	official	ef1811ae-882c-428e-b904-9ca6f2a48681	Jim Banks	9	2500000	2026-05-02 22:37:12.721865+00	174
PARTIAL	official	4674abb0-91e0-4dfc-9d66-a1084c12b47d	Amish Shah	1	2300000	2026-09-07 07:15:10.683876+00	45
PARTIAL	official	3bd76ea9-071c-470e-9b1f-cfb17ae9c6c6	Manny Rutinel	1	2300000	2026-09-07 07:15:10.683876+00	38
DROPPED-OUT	official	01ba2980-7fb2-4479-9a5e-6d024f34d141	Everton Blair	7	2150000	2026-09-01 00:30:29.054864+00	0
DROPPED-OUT	official	6a8a80dc-93df-4bd7-a80f-2185c3535d8d	Harry Dunn	5	2050000	2026-08-09 22:30:28.085308+00	0
PARTIAL	official	880f2f37-67d7-4bce-b7fb-5a5a5eee78e6	Joanna Mendoza	4	1700000	2026-09-07 07:15:10.683876+00	146
PARTIAL	official	4f9c372a-f214-4d51-b287-815244a9f1f7	J. French Hill	4	1700000	2026-08-08 03:34:43.917805+00	305
PARTIAL	official	0e8eb264-c9cd-4346-85f1-03fd88377e6e	Seth Moulton	6	1650000	2026-07-10 06:08:28.559885+00	72
PARTIAL	official	6f0aabbc-6365-4e59-ac1b-4efad1f71fcb	Mike Crapo	2	1500000	2026-08-08 20:52:45.636607+00	166
PARTIAL	official	87a9b478-4776-484f-869a-e44319811efa	Julie Johnson	2	1500000	2026-08-08 22:59:39.694444+00	183
PARTIAL	official	d7b532f7-29e2-4f30-8804-5f80ac806ce9	Jonathan Nez	2	1440000	2026-09-07 07:15:10.683876+00	68
PARTIAL	official	526e530f-ea39-4a01-bc24-33f02bf0a22a	Andy Kim	7	1300000	2026-07-07 06:12:16.764281+00	29
PARTIAL	official	319a9553-63ae-4763-b5d0-bfeee0ac987a	Adam Smith	2	1250000	2026-05-02 22:37:11.078305+00	135
PARTIAL	official	f3623d0a-75ce-441f-af46-dfb275994710	Marlene Galan-Woods	4	1250000	2026-08-17 03:11:53.229652+00	55
PARTIAL	official	eb63b46f-9758-410e-ab7c-ead2f98cefa9	Jonathan L. Jackson	4	1200000	2026-09-13 22:55:58.411386+00	60
PARTIAL	official	1fce3e17-64a3-4be0-a692-bfa6063bba8b	Ted Budd	3	1100000	2026-05-02 22:37:13.582977+00	107
PARTIAL	official	a42cd1a2-aa86-4e4a-9d46-069b5081ad98	Bradley Scott Schneider	2	1100000	2026-05-02 22:37:08.927301+00	366
PARTIAL	official	e3489960-7d46-4e26-a7a0-f733ec7543ba	Henry Cuellar	2	1000000	2026-07-06 07:01:32.874077+00	219
PARTIAL	official	bf9c076c-9a53-438c-ab34-8e980e5ab86a	Vicente Gonzalez	2	1000000	2026-08-08 03:35:26.632984+00	385
PARTIAL	official	dd5575b6-8a4c-408e-a2d1-053de6dfbc4c	Zoe Lofgren	1	1000000	2026-08-08 22:47:35.426466+00	127
PARTIAL	official	61380691-3fd3-4759-8b8c-9187547354d1	Val T. Hoyle	1	1000000	2026-08-08 03:34:43.917805+00	166
PARTIAL	official	3f2388f1-1663-4f81-97aa-17cec3ba79e4	Mark Takano	1	1000000	2026-08-08 22:47:35.426466+00	104
PARTIAL	official	6baa14e7-c26c-4959-8067-684ac24d71a1	Juliana Stratton	2	1000000	2026-08-08 03:35:05.588567+00	109
PARTIAL	official	17fe6cda-51bb-41e5-a434-29d55866ea3f	Joshua Turek	1	1000000	2026-08-08 03:35:05.588567+00	69
PARTIAL	official	90353c1a-3c19-4fe9-9aa5-9e1fc78c25ea	Ruben Gallego	5	950000	2026-07-06 06:41:54.620624+00	178
PARTIAL	official	e100ce6d-6f7a-4dd7-bf01-55d1f0aca5ba	Sean Mccann	3	900000	2026-09-07 07:15:10.683876+00	86
PARTIAL	official	67e0e5f3-c20e-439b-b8c9-2e804aecf1df	Hillary J. Scholten	8	850000	2026-05-02 22:37:10.210105+00	224
PARTIAL	official	74349a45-3cad-4f5a-9638-fb850bbec59d	Michael R. Turner	4	800000	2026-05-02 22:36:58.314778+00	111
PARTIAL	official	7a9f177b-a4b2-4730-bf87-2e903bf4e5c9	Lisa Blunt Rochester	3	750000	2026-07-06 07:24:36.195529+00	120
PARTIAL	official	369bd6b6-2e5c-409d-82fd-bb426b7a66aa	Ashley Arenholz	2	750000	2026-08-02 05:53:16.808623+00	232
PARTIAL	official	4b857eea-5fee-4223-a6fd-dd03c8990077	Wesley Hunt	5	700000	2026-07-10 06:12:31.042015+00	53
PARTIAL	official	981e4f8a-d489-4a96-a8c4-88b630d7bdd0	Denise Powell	3	700000	2026-08-08 03:34:43.917805+00	103
PARTIAL	official	6082617a-2291-48cc-8cc5-44c05f158060	Mike Mcguire	2	700000	2026-09-01 00:30:38.938878+00	59
PARTIAL	official	5489eb1d-4c10-4999-afb7-1223677f5536	Bill Hagerty	2	650000	2026-08-08 22:51:53.536906+00	342
PARTIAL	official	b9f695d4-1b3e-4fd6-87a2-c9f1b1673605	Wesley Bell	3	650000	2026-07-10 06:11:44.846457+00	181
PARTIAL	official	1625e7b3-448b-4c4d-b459-ca19eeaedbd5	Thomas H. Kean	3	650000	2026-06-28 06:29:26.185309+00	354
PARTIAL	official	3ecca3c4-b4a8-4117-866a-292b1db8d739	Adriano Espaillat	2	600000	2026-08-08 03:34:53.277327+00	155
PARTIAL	official	46bdb81f-c5ca-4b5d-abc6-67128379d2c3	Sylvia R. Garcia	2	600000	2026-05-02 22:37:13.150923+00	210
PARTIAL	official	e21fb3a2-a3f3-429b-af36-357b7abcdba1	Mike Kennedy	3	600000	2026-07-06 06:55:30.020765+00	181
DROPPED-OUT	official	9b8eb55c-9c39-488c-a88b-4ecb55c5fc31	Trisha Calvarese	2	600000	2026-07-12 05:42:26.902006+00	0
PARTIAL	official	d758a091-fa36-47d4-b2b0-e264d41f1fc2	Sherrod Brown	2	600000	2026-07-26 05:46:03.079856+00	36
PARTIAL	official	ab4b2df1-b279-42e2-9183-c9426ed595b4	Derek Schmidt	2	600000	2026-07-07 06:20:08.930216+00	170
DROPPED-OUT	official	bb7600c1-23a6-40ed-bd2a-01b706352983	Paul Maddox	1	600000	2026-07-19 05:35:32.015497+00	0
PARTIAL	official	66adced6-4b74-4db6-8ff3-1c9d70f92318	Elaine Luria	2	550000	2026-08-08 03:35:05.588567+00	103
PARTIAL	official	a3e644e3-d52a-4318-b38c-92cf36ed707d	Robert Harvie	2	550000	2026-08-08 03:35:05.588567+00	45
PARTIAL	official	b032f0e6-5499-453a-a340-a10ec0a4d396	Richard Pan	2	550000	2026-08-08 03:35:05.588567+00	88
PARTIAL	official	df8ed54b-815b-4050-ba43-7217a2e22d84	Shannon Taylor	2	550000	2026-08-08 03:35:05.588567+00	98
PARTIAL	official	93a6040f-402c-4f85-8d0d-55cf1b0350b2	Ben Lujan	1	500000	2026-08-08 22:51:53.536906+00	372
PARTIAL	official	065a4bd2-412a-4abb-943e-1a643c309832	Suzan K. DelBene	1	500000	2026-08-08 03:34:34.962484+00	400
PARTIAL	official	0df12b7a-24b6-4e12-949d-e2f3616892e1	James Osyf	1	500000	2026-08-08 22:47:35.426466+00	8
DROPPED-OUT	official	102e2a61-efb3-46a3-87f0-5d903250f15c	Star Parker	1	500000	2026-08-08 03:34:43.917805+00	0
PARTIAL	official	14b230e1-4989-48d7-9179-35ca43be7011	Nate Blouin	1	500000	2026-08-08 03:35:26.632984+00	10
PARTIAL	official	14b52320-218e-4278-b046-a1b0cf4d3605	Dr. Wahab	1	500000	2026-06-07 06:37:39.758347+00	13
PARTIAL	official	16f2ac98-bf5a-4d67-aea3-2ea51b620a08	Gregory W. Meeks	1	500000	2026-08-08 03:34:34.962484+00	242
PARTIAL	official	1bbce4e3-4cb4-4b3c-a699-4838fa1e9377	James Talarico	1	500000	2026-08-08 03:35:05.588567+00	82
PARTIAL	official	1d3d4317-58e8-4818-a174-593b4f000d63	Josh Gottheimer	1	500000	2026-08-08 03:34:34.962484+00	259
PARTIAL	official	1f0fcc25-c88d-4112-9e90-e873d106d32d	Gilbert Ray Cisneros	1	500000	2026-09-17 00:23:44.88845+00	55
PARTIAL	official	1f7f59ae-8899-493e-864b-879b73c063bc	Todd Young	1	500000	2026-07-06 07:25:13.212644+00	254
PARTIAL	official	2856e2ff-a50f-4d2f-ba15-b753848799ab	Terri Deboer	1	500000	2026-08-08 03:34:53.277327+00	2
PARTIAL	official	2d4b9674-f759-44db-a8f2-0d6842012470	Markwayne Mullin	1	500000	2026-08-08 22:51:53.536906+00	319
PARTIAL	official	2f4dd5a4-20f4-4c65-9a73-0479c432670d	Haley Stevens	1	500000	2026-06-28 06:28:45.976704+00	176
PARTIAL	official	306b852e-a44a-464e-86e7-9e49afd5544b	Tom Barrett	1	500000	2026-08-08 03:34:53.277327+00	305
PARTIAL	official	339c8d60-7de7-459a-ae43-05108275c83b	Garland Barr	1	500000	2026-08-08 03:34:53.277327+00	227
PARTIAL	official	39f916d7-ced4-4d93-aa61-768cd37bca10	Daniel S. Goldman	1	500000	2026-08-08 03:34:43.917805+00	144
PARTIAL	official	3e53a1a9-4fb5-4593-a259-88b92bf3e93a	David Rouzer	1	500000	2026-08-08 03:34:34.962484+00	332
PARTIAL	official	45498fc7-1b0c-4f16-b700-476b01792f83	Angela D. Alsobrooks	1	500000	2026-09-01 00:31:01.587865+00	162
PARTIAL	official	494c0932-e2a6-41ea-a343-09fbfec2aa2e	Greg Landsman	1	500000	2026-08-08 03:34:43.917805+00	283
PARTIAL	official	4ae687b8-dd8a-480e-b6c4-45df9beac5d4	Blake D. Moore	1	500000	2026-09-01 00:31:01.587865+00	378
PARTIAL	official	5c0f123b-92b9-40ff-9145-5bc8f5e2c4d0	Derek Tran	1	500000	2026-08-08 03:34:43.917805+00	330
PARTIAL	official	61a46bae-7495-4835-a7f5-b7f6f188b685	Robert Smullen	1	500000	2026-08-08 03:34:43.917805+00	17
PARTIAL	official	6d68c031-8f26-4b97-be8f-0f72a65ad856	Julia Letlow	1	500000	2026-08-08 03:34:34.962484+00	169
PARTIAL	official	81acd3f5-d2c2-49ce-b5c9-279270b1fab4	Young Kim	1	500000	2026-08-08 03:34:34.962484+00	384
PARTIAL	official	83d0a051-620b-4e2c-908a-0fc717bd529a	Teresa Leger Fernandez	1	500000	2026-08-08 22:47:35.426466+00	74
PARTIAL	official	00b70f3a-6833-4f69-92b1-166d0113541e	Kevin Morrison	1	500000	2026-08-08 22:47:35.426466+00	18
PARTIAL	official	97ff9034-0fae-495a-b9eb-8bec92187845	Donald G. Davis	1	500000	2026-05-01 04:57:00.643062+00	411
