query,rolname,calls,mean_time,min_time,max_time,total_time,rows_read,cache_hit_rate,prop_total_time,index_advisor_result
"WITH pgrst_source AS ( SELECT ""public"".""proposals"".""id"" FROM ""public"".""proposals"" WHERE  ""public"".""proposals"".""metadata""->>$1 = $2   LIMIT $3 OFFSET $4 ) , pgrst_source_count AS (SELECT $7  FROM ""public"".""proposals"" WHERE  ""public"".""proposals"".""metadata""->>$5 = $6) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $8::text AS body, nullif(current_setting($9, $10), $11) AS response_headers, nullif(current_setting($12, $13), $14) AS response_status, $15 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",authenticated,3410,812.497173000878,0.444278,7945.847326,2770615.35993301,3410,79.6649579445049779,3.249003470333688,null
"WITH pgrst_source AS (SELECT pgrst_call.pgrst_scalar FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""p_canonical_name"", ""p_entity_type"", ""p_state"" FROM json_to_record(pgrst_payload.json_data) AS _(""p_canonical_name"" text, ""p_entity_type"" text, ""p_state"" text) LIMIT $4) pgrst_body , LATERAL (SELECT ""public"".""resolve_entity_by_canonical""(""p_canonical_name"" := pgrst_body.""p_canonical_name"", ""p_entity_type"" := pgrst_body.""p_entity_type"", ""p_state"" := pgrst_body.""p_state"") pgrst_scalar) pgrst_call) SELECT $5::bigint AS total_result_set, $6 AS page_total, coalesce(json_agg(_postgrest_t.pgrst_scalar)->$7, $8) AS body, nullif(current_setting($9, $10), $11) AS response_headers, nullif(current_setting($12, $13), $14) AS response_status, $15 AS response_inserted FROM (SELECT ""resolve_entity_by_canonical"".* FROM ""pgrst_source"" AS ""resolve_entity_by_canonical""   LIMIT $2 OFFSET $3) _postgrest_t",service_role,9400,257.074573719362,15.634312,3794.142956,2416500.992962,9400,99.7037281936130437,2.8337459705659667,null
SELECT * FROM public.rebuild_entity_connections_contracts(),postgres,8,289603.604093875,39436.892434,1276914.8118,2316828.832751,8,85.3253450344699220,2.7168639236733134,null
"WITH pgrst_source AS ( SELECT ""public"".""enrichment_queue"".* FROM ""public"".""enrichment_queue"" WHERE  ""public"".""enrichment_queue"".""status"" = $1   LIMIT $2 OFFSET $3 ) , pgrst_source_count AS (SELECT $5  FROM ""public"".""enrichment_queue"" WHERE  ""public"".""enrichment_queue"".""status"" = $4) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $6::text AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",service_role,778,2961.27543083933,231.046164,7956.914149,2303872.285193,778,4.9100813340076118,2.7016702347231076,null
"WITH pgrst_source AS (INSERT INTO ""public"".""financial_entities""(""canonical_name"", ""display_name"", ""donor_fingerprint"", ""entity_type"", ""fec_committee_id"", ""metadata"", ""total_donated_cents"", ""total_received_cents"") SELECT ""pgrst_body"".""canonical_name"", ""pgrst_body"".""display_name"", ""pgrst_body"".""donor_fingerprint"", ""pgrst_body"".""entity_type"", ""pgrst_body"".""fec_committee_id"", ""pgrst_body"".""metadata"", ""pgrst_body"".""total_donated_cents"", ""pgrst_body"".""total_received_cents"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""canonical_name"", ""display_name"", ""donor_fingerprint"", ""entity_type"", ""fec_committee_id"", ""metadata"", ""total_donated_cents"", ""total_received_cents"" FROM json_to_recordset(pgrst_payload.json_data) AS _(""canonical_name"" text, ""display_name"" text, ""donor_fingerprint"" text, ""entity_type"" text, ""fec_committee_id"" text, ""metadata"" jsonb, ""total_donated_cents"" bigint, ""total_received_cents"" bigint) ) pgrst_body WHERE set_config($2, (coalesce(nullif(current_setting($3, $4), $5)::int, $6) + $7)::text, $8) <> $9 ON CONFLICT(""donor_fingerprint"") DO UPDATE SET ""canonical_name"" = EXCLUDED.""canonical_name"", ""display_name"" = EXCLUDED.""display_name"", ""donor_fingerprint"" = EXCLUDED.""donor_fingerprint"", ""entity_type"" = EXCLUDED.""entity_type"", ""fec_committee_id"" = EXCLUDED.""fec_committee_id"", ""metadata"" = EXCLUDED.""metadata"", ""total_donated_cents"" = EXCLUDED.""total_donated_cents"", ""total_received_cents"" = EXCLUDED.""total_received_cents""WHERE set_config($10, (coalesce(nullif(current_setting($11, $12), $13)::int, $14) - $15)::text, $16) <> $17 RETURNING ""public"".""financial_entities"".""donor_fingerprint"", ""public"".""financial_entities"".""id"") SELECT $18 AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, array[]::text[] AS header, coalesce(json_agg(_postgrest_t), $19) AS body, nullif(current_setting($20, $21), $22) AS response_headers, nullif(current_setting($23, $24), $25) AS response_status, nullif(current_setting($26, $27),$28)::int AS response_inserted FROM (SELECT ""financial_entities"".""id"", ""financial_entities"".""donor_fingerprint"" FROM ""pgrst_source"" AS ""financial_entities""   ) _postgrest_t",service_role,2002,1130.69020522627,245.765741,7890.542449,2263641.790863,2002,85.7657418155146173,2.6544933448589836,null
"WITH pgrst_source AS ( SELECT ""public"".""votes"".""id"" FROM ""public"".""votes"" WHERE  ""public"".""votes"".""official_id"" = $1   LIMIT $2 OFFSET $3 ) , pgrst_source_count AS (SELECT $5  FROM ""public"".""votes"" WHERE  ""public"".""votes"".""official_id"" = $4) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $6::text AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",authenticated,1651,1128.66010978922,0.028431,7156.710853,1863417.841262,1651,62.9683628392899131,2.1851647545505313,null
"WITH pgrst_source AS ( SELECT ""public"".""financial_entities"".""id"", ""public"".""financial_entities"".""canonical_name"", ""public"".""financial_entities"".""entity_type"" FROM ""public"".""financial_entities""   LIMIT $1 OFFSET $2 )  SELECT $3::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $4) AS body, nullif(current_setting($5, $6), $7) AS response_headers, nullif(current_setting($8, $9), $10) AS response_status, $11 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",service_role,1274,1297.71300155573,4.612684,6754.295892,1653286.363982,1274,20.4971508361136129,1.9387509402108996,null
"WITH pgrst_source AS (SELECT ""pgrst_call"".* FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""q"", ""lim"" FROM json_to_record(pgrst_payload.json_data) AS _(""q"" text, ""lim"" integer) LIMIT $4) pgrst_body , LATERAL ""public"".""search_graph_entities""(""q"" := pgrst_body.""q"", ""lim"" := pgrst_body.""lim"") pgrst_call) SELECT $5::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM (SELECT ""record"".* FROM ""pgrst_source"" AS ""record""   LIMIT $2 OFFSET $3) _postgrest_t",service_role,778,1679.33513270437,6.863668,7784.734608,1306522.733244,778,64.8658273726986916,1.5321133910418545,null
"WITH pgrst_source AS ( SELECT ""public"".""entity_connections"".""id"" FROM ""public"".""entity_connections"" WHERE  ""public"".""entity_connections"".""from_id"" = $1 AND  ""public"".""entity_connections"".""connection_type"" = $2   LIMIT $3 OFFSET $4 )  SELECT $5::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",service_role,326,3994.93133623006,1190.080153,7773.45455,1302347.615611,326,3.9333115474379355,1.527217377010157,null
"WITH pgrst_source AS ( SELECT ""public"".""votes"".* FROM ""public"".""votes"" WHERE  ""public"".""votes"".""vote"" = $1   LIMIT $2 OFFSET $3 ) , pgrst_source_count AS (SELECT $5  FROM ""public"".""votes"" WHERE  ""public"".""votes"".""vote"" = $4) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $6::text AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",service_role,662,1765.14690112085,0.022908,7989.459042,1168527.248542,662,79.4759400838643812,1.370290925473044,null
