branch	decided_by	official_id	full_name	tier	is_active	role_title	jurisdiction	stored_fec_id	totals_table_cents	donation_cents	donation_rows	first_at	last_at	twin_id	twin_name	twin_tier	twin_fec_id	twin_fec_state	state_agrees	twin_total_cents	shared_pairs	overlap_frac
CROSS-PERSON MISATTRIBUTION	neither	f29bbd4e-944f-4840-adbd-16a4706a3c02	Shontel M. Brown	elected	true	Representative	OH		5099828900	5099828900	43960	2018-10-17	2026-03-31	d758a091-fa36-47d4-b2b0-e264d41f1fc2	Sherrod Brown	candidate	S6OH00163	OH	true	4728714100	42681	0.9709
CROSS-PERSON MISATTRIBUTION	neither	6113aa61-35a9-4010-86fe-8c27ac54a490	David Porter	elected	true	Federal Judge	US		739176600	739176600	6133	2019-02-19	2025-09-19	12fd974b-cd33-4df4-aae4-6661428f06bd	Katherine Porter	candidate	S4CA00522	CA	false	569324900	5660	0.9229
CROSS-PERSON MISATTRIBUTION	neither	0b99d98e-42ca-466f-9c16-f751eacaf708	Heather Cooke	elected	false	Council Member	AUS	H4WI03169	600175400	600175400	4871	2022-06-06	2026-03-31	d0d68da0-7880-4b31-bc9e-2082f110f0bc	Rebecca Cooke	candidate	H2WI03130	WI	false	633056600	4667	0.9581
CROSS-PERSON MISATTRIBUTION	neither	e9015ab5-913e-4f2c-a917-190ebd0dde22	Al Green	elected	true	Representative	TX		394187800	394187800	2026	2019-01-07	2026-03-31	6cee156f-a3f9-4fa4-b245-499d975dbb8d	Mark Green	candidate	H8TN07076	TN	false	171423600	912	0.4501
CROSS-PERSON MISATTRIBUTION	neither	ee27066e-5f25-4abd-85c1-2a98de6e5bf6	Mike Collins	elected	true	Representative	GA		349669000	349669000	1534	2019-01-22	2026-03-31	1a912fd3-f05f-431c-ac03-e1f282a02a30	Michael Collins	candidate	S6GA00390	GA	true	178565600	754	0.4915
UNIQUE HOLDER		44845d16-71db-4563-aa3c-28cad31f13e3	Chuck Grassley	elected	true	Senator	IA		334882400	334882400	888	2019-01-04	2026-02-07	0f2ad6d5-15e2-435e-b05b-59a183470b69	Charles Grassley	candidate	S0IA00028	IA	true	34769500	187	0.2106
SAME-PERSON DUPLICATE	name	da5de9b1-2c03-4028-9e79-3cb89081aac8	Scott Wiener	elected	false	Council Member	SF	H8CA11116	269522200	269522200	1169	2023-03-01	2026-03-26	26be1547-1b37-40fb-b061-f9d7e451c481	Scott Wiener	candidate	H8CA11116	CA	false	380012500	1169	1.0000
CROSS-PERSON MISATTRIBUTION	neither	8f1e45d1-ec6f-426e-b49e-cb0198d24db0	David Coleman	elected	false	Council Member	AUS	H6TX10171	258517400	258517400	1002	2015-10-14	2026-02-11	eb6e7f4c-dc9c-47c5-a016-5d499dccd0ac	Bonnie Coleman	candidate	H4NJ12149	NJ	false	111220800	527	0.5259
CROSS-PERSON MISATTRIBUTION	neither	ad80e520-5642-417b-89bc-015746611da0	Beverly Andrews	elected	false	Council Member	AUS	S6SC04239	225458500	225458500	2705	2020-04-20	2026-03-31	e64a5a8d-aaa9-4536-b604-efbdb1dbc64b	Annie Andrews	candidate	S6SC04239	SC	false	251155800	2529	0.9349
CROSS-PERSON MISATTRIBUTION	neither	a3137bf0-c622-4216-a962-bc4e9a924c8c	Gregory Phillips	elected	true	Federal Judge	US		212108800	212108800	1484	2019-01-15	2026-02-27	f7da1082-e0d4-4803-9a1f-20f79133b9de	Dean Phillips	candidate	P40016131	00	false	133035900	1066	0.7183
CROSS-PERSON MISATTRIBUTION	neither	83e45cae-7ac0-4934-9a5a-64ad81a23eed	Radhika Fox	elected	false	Council Member	SF	P60005303	197572100	197572100	1813	2023-09-23	2024-12-03	0a83112d-53b6-4ef9-adf3-e6d0963ba426	Whitney Fox	candidate	H4FL13200	FL	false	197572100	1813	1.0000
CROSS-PERSON MISATTRIBUTION	neither	42305735-9ea0-4c1d-a56d-c7110fc28e7b	Richard Greene	elected	false	Council Member	SEA	H4TN07174	196146100	196146100	2028	2019-12-26	2024-12-31	42df9ecb-0ab1-42fd-aa9c-02473f380e55	Marjorie Greene	candidate	H0GA06192	GA	false	163699800	1985	0.9788
CROSS-PERSON MISATTRIBUTION	neither	d70801cf-9567-41ca-9eb3-6ee91e399e30	Brandon Williamson	elected	false	Council Member	AUS	H6VA02156	191347200	191347200	1408	2020-01-21	2025-11-08	7928646c-e5eb-4487-b273-fb41242a09c7	Marianne Williamson	candidate	P00009910	00	false	179911700	1283	0.9112
