official_id	full_name	first_name	tier	role_title	jurisdiction	is_active	stored_fec_id	verdict	total_rows	total_usd	own_rows	own_usd	cross_rows	cross_usd	diverted_rows	diverted_usd	trial_moved	trial_collided	trial_collision_rate	cross_amount_mismatch_rows	cross_suspect_excess_usd	cross_owner_excess_usd	same_person_owner_fec_ids	cross_person_owner_fec_ids	best_owner_name	best_owner_fec_id	best_owner_relation	best_owner_holding_usd	best_owner_shared_rows	owner_count	zero_owner_fec_ids	diverted_cycles	first_at	last_at
aba19e76-731d-4f2d-9bb6-e99c20c441fb	Monica Guzman	Monica	elected	Council Member	SF	false	H4VA07275	DUPLICATED	157	204638.00	0	0.00	157	204638.00	0	0.00	0	157	1.0000	0	0.00	0.00		H4VA07275	Elizabeth Guzman	H4VA07275	CROSS	204638.00	157	1	H2AZ08219,P20005500		2023-11-27	2024-06-28
1f45e1ab-c489-4d04-91d4-6c5bac866adf	Donna Hood	Donna	elected	Council Member	SF	false	H4OH02271	DUPLICATED	71	197900.00	0	0.00	71	197900.00	0	0.00	7	64	0.9014	0	0.00	0.00		H4OH02271,H0OH18101	Ron Hood	H4OH02271	CROSS	173900.00	64	2	H0OH11114,H2TN04274,H8IN09123,P40011546		2021-05-20	2024-03-18
e8289b79-5deb-489b-8187-03f0a582aeaa	Richard Whipple	Richard	elected	Council Member	SF	false	H6NV04111	DUPLICATED	120	194890.00	0	0.00	120	194890.00	0	0.00	0	120	1.0000	19	0.00	19300.00		H6NV04111	Cody Whipple	H6NV04111	CROSS	286610.00	120	1	H6NC11289,P00010371		2025-04-05	2026-01-14
3bdc2bf3-a670-4270-b32f-a6ccdd159017	Danielle  Love	Danielle 	elected	Council Member	AUS	false	S0TX00308	DUPLICATED	269	190662.00	0	0.00	269	190662.00	0	0.00	109	160	0.5948	0	0.00	0.00		H4TX06224,S4NE00223,S4MI00504,S0TX00308	John Love	H4TX06224	CROSS	69274.00	160	4	H0HI02304,H2KS03091,H2TX26051,H2UT04023,H8AL02080,H8NV03192,H8WV03121,S2CA01292		2019-10-30	2024-12-18
c0c0903e-b862-4e4d-be9b-3ca23a2e3b3d	Norman Stahl	Norman	elected	Federal Judge	US	true		DUPLICATED	62	186909.00	0	0.00	62	186909.00	0	0.00	1	61	0.9839	0	0.00	0.00		H6TX06229,H2AZ04192	Brian Stahl	H6TX06229	CROSS	188590.00	61	2			2022-01-03	2026-02-23
0e6885fc-98f4-41fe-bc88-0af84d87f213	Sadie Spalding	Sadie	elected	Council Member	AUS	false	H6FL18121	DUPLICATED	250	183663.00	0	0.00	250	183663.00	0	0.00	0	250	1.0000	0	0.00	0.00		H0FL23090	Carla Spalding	H0FL23090	CROSS	185713.00	250	1	H6FL18121,P40008682		2020-09-25	2024-12-26
81df449d-bf0f-4728-b335-07352c8e06b3	Maureen Singleton	Maureen	elected	Council Member	SF	false	H4GA03076	DUPLICATED	73	183257.00	0	0.00	73	183257.00	0	0.00	0	73	1.0000	0	0.00	0.00		H4GA03076	Phillip Singleton	H4GA03076	CROSS	183257.00	73	1	H2GA12154		2024-01-04	2024-06-11
90158286-1ae6-49a5-a50d-2b995b1cac81	Luis Herrera	Luis	elected	Council Member	SF	false	H6MO05254	DUPLICATED	209	178024.00	0	0.00	209	178024.00	0	0.00	12	197	0.9426	2	0.00	2000.00		H4TX23120,H6MO05254	Brandon Herrera	H4TX23120	CROSS	232484.00	197	2	H0CA50244		2023-08-12	2026-02-24
2bfe40be-19b4-4d97-8c1e-552eb6b1aa21	Myrna Rios	Myrna	elected	Council Member	AUS	false	H6CA21234	DUPLICATED	125	164989.00	0	0.00	125	164989.00	0	0.00	0	125	1.0000	9	0.00	2930.00		H6CA21234	Lorenzo Rios	H6CA21234	CROSS	212416.00	125	1	H2CA42163,H2NC12211,H4MS03066,H6DC01012,H6IN07428,H6TX16210,P40007122		2025-07-11	2025-12-30
900f3a61-e3d6-4dbd-b482-9d113d209a7a	Lish Whitson	Lish	elected	Council Member	SEA	false	H6VA11215	DUPLICATED	168	155528.00	0	0.00	168	155528.00	0	0.00	0	168	1.0000	0	0.00	0.00		H6VA11215	Stewart Whitson	H6VA11215	CROSS	155528.00	168	1	S6TN00414		2025-06-16	2025-09-09
ddb784a2-811a-4e3c-9ece-54477aa7519e	Jocelyn Kane	Jocelyn	elected	Council Member	SF	false	H4TX07099	DUPLICATED	114	151628.00	0	0.00	114	151628.00	0	0.00	0	114	1.0000	0	0.00	0.00		H4TX07099	Caroline Kane	H4TX07099	CROSS	151628.00	114	1	H6FL19202,H6NY10184,H8OH12263		2023-03-14	2024-11-01
c14c880e-1a61-4d86-9998-d5c953035cb8	Sandra Campbell	Sandra	elected	Council Member	AUS	false	H6OH09149	DUPLICATED	114	133880.00	0	0.00	114	133880.00	0	0.00	24	90	0.7895	0	0.00	0.00		S4FL00637,H2TN05438,H4ND01051	Stanley Campbell	S4FL00637	CROSS	75130.00	90	3	H0CA15288,H0FL18223,H0FL18231,H0FL18249,H0IA05092,H0MA07054,H0OR02192,H0TN02108,H0WA09069,H2FL14293,H2MO04231,H2UT01276,H4TX38029,H4UT01132,H4VA08372,H6CA48039,H6MI13270,H6MI13288,H6PA05158,H8IN06160,H8MI09084,H8ND00104,P00005249,P40004616,P40013526,P40019648,P60005147,S6KY00377,S6LA00359,S8MD00328,S8ND00104		2022-08-04	2024-08-23
52b6e77f-f27e-4918-9796-cdaab37161e9	Mark Farrell	Mark	elected	Council Member	SF	false	H6UT01236	DUPLICATED	91	123734.00	0	0.00	91	123734.00	0	0.00	3	88	0.9670	13	0.00	11050.00		H6GA01083,H2NY21156,H6UT01236	Patrick Farrell	H6GA01083	CROSS	142520.00	88	3	H0IL17109		2021-09-15	2026-04-04
79e0909d-b560-4e4e-8ff1-ee6336af8c9e	Cynthia Goldstein	Cynthia	elected	Council Member	SF	false	H6MD06303	DUPLICATED	94	119072.00	0	0.00	94	119072.00	0	0.00	42	52	0.5532	0	0.00	0.00		H0CT04229,H6MD06303,H4CT04163,H0MA08045	Michael Goldstein	H0CT04229	CROSS	81772.00	52	4	H2NY10290,H6OH11160,P40006330		2020-06-18	2026-03-31
38f956c2-ad4d-40d4-bc6e-ca2cbe639a55	Ruben Aleman	Ruben	elected	Council Member	AUS	false	H6CA41315	DUPLICATED	192	103406.00	0	0.00	192	103406.00	0	0.00	0	192	1.0000	0	0.00	0.00		H6CA41315	Katherine Aleman	H6CA41315	CROSS	103406.00	192	1	P00016774		2025-07-14	2025-11-10
9abf2e2d-c049-431d-89b5-13a4193f7d62	Julius Richardson	Julius	elected	Federal Judge	US	true		DUPLICATED	127	93875.00	0	0.00	127	93875.00	0	0.00	10	117	0.9213	0	0.00	0.00		H4GA06145,H4MO06109,H0MI06186	Jerica Richardson	H4GA06145	CROSS	90075.00	117	3	H0CA07145,H0OH03111,H2IL12148,H2NC07112,H2SC07173,H4FL16195,H4FL18126,H4KY06205,H4PA01129,H6TX23240,H8CA07080,H8CA37137,H8FL07054,H8FL27060,P00006445,P00014993,P20001376,P40014623,P80008584,S2PA00620		2020-06-23	2024-05-17
266eec54-c361-4ded-a9c2-51223b3ac63f	Don Willett	Don	elected	Federal Judge	US	true		DUPLICATED	86	93250.00	0	0.00	86	93250.00	0	0.00	0	86	1.0000	0	0.00	0.00		S6KY00336	Joel Willett	S6KY00336	CROSS	93250.00	86	1	H6MO06294		2025-09-14	2025-12-19
57a93d76-13e9-4a22-af06-77192512acfb	Ketil Freeman	Ketil	elected	Council Member	SEA	false	S6SC04197	DUPLICATED	105	89194.00	0	0.00	105	89194.00	0	0.00	32	73	0.6952	0	0.00	0.00		H2KS04099,H4TN08123,H4OH11074,S6SC04197	Esau Freeman	H2KS04099	CROSS	55850.00	73	4	H0NE02177,H0NH01274,H2NM02183,H4DC00100,H6FL22081,H6OH11202,P00016139		2023-09-06	2025-08-31
71cf32f5-7213-4417-89c0-304df6fa381b	Becky Nagel	Becky	elected	Council Member	AUS	false	H6MN05357	DUPLICATED	108	65445.00	0	0.00	108	65445.00	0	0.00	0	108	1.0000	1	0.00	291.00		H6MN05357	John Nagel	H6MN05357	CROSS	66336.00	108	1			2025-11-10	2026-03-31
2c918fe5-7b1b-4977-a945-9981bd645e6b	Julia Joseph	Julia	elected	Council Member	AUS	false	H6FL20069	DUPLICATED	91	65242.00	0	0.00	91	65242.00	0	0.00	33	58	0.6374	4	0.00	2250.00		H6FL20069,S4FL00512,H2NC12278	Rodenay Joseph	H6FL20069	CROSS	72172.00	58	3	H2NY00069,H2NY12171,H6TX18240,P00008037,P00014647,S4NY00453		2023-01-06	2026-03-23
f499e354-4be1-423c-bf91-2168c0d45f32	Rob Lloyd	Rob	elected	Council Member	SEA	false	H4TX27089	DUPLICATED	94	56249.00	0	0.00	94	56249.00	0	0.00	0	94	1.0000	4	0.00	2750.00		H4TX27089	Tanya Lloyd	H4TX27089	CROSS	59249.00	94	1	H0MD05266,H4FL21088,P60004991		2023-12-05	2026-02-07
e283c9c8-d13c-4d61-97b8-ffad506d402e	Charice Pennie	Charice	elected	Council Member	SEA	false	H4TX03122	DUPLICATED	53	51744.00	0	0.00	53	51744.00	0	0.00	0	53	1.0000	0	0.00	0.00		H4TX03122	Demetrick Pennie	H4TX03122	CROSS	51744.00	53	1	H0TX18276,H0TX32053		2023-04-04	2024-02-05
