holder_id	full_name	role_title	tier	jurisdiction	holder_fec_id	verdict	holder_rows	shared_rows	stale_rows	stale_usd	stale_share	live_rows_newer_than_contamination	owner_name	owner_fec_id	owner_role
06f1abdb-249b-480e-bd3b-addbbc17c8d0	Juan Vargas	Representative	elected	CA	H2CA50026	REFUSE-low-share	4546	3631	296	1062566.00	0.0815	15	Anthony Vargas	H2NE02132	Candidate for Representative
1fce3e17-64a3-4be0-a692-bfa6063bba8b	Ted Budd	Senator	elected	NC	S2NC00505	REFUSE-weak-overlap	6078	275	264	1008692.00	0.9600	141	Theodore Budd	H6NC13129	Candidate for Representative
0136736d-20b7-4f3a-aa2b-c45b6e1ab8a1	Timothy Ryan	Candidate for Senator	candidate	OH	S2OH00402	REFUSE-weak-overlap	23305	394	394	1000397.00	1.0000	39	Patrick Ryan	H8NY19223	Representative
1b0abf70-b56f-48f0-8d02-fc67c736071c	Adrian Smith	Representative	elected	NE	H6NE03115	REFUSE-weak-overlap	2188	1071	252	977051.00	0.2353	28	Jason Smith	H4MO08162	Representative
7b3d1864-ce78-4b60-a664-78b1a1807a0b	David Joyce	Candidate for Representative	candidate	OH	H2OH14064	REFUSE-weak-overlap	809	210	209	948500.00	0.9952	1	John Joyce	H8PA13125	Representative
13d2bf6d-6a78-4835-b246-fbeed4a329de	David P. Joyce	Representative	elected	OH	H2OH14064	REFUSE-weak-overlap	2689	421	159	929765.00	0.3777	123	John Joyce	H8PA13125	Representative
cdc8ae79-9603-49ee-8fc7-4a16a46df2e5	Gary Peters	Candidate for Senator	candidate	MI	S4MI00355	REFUSE-weak-overlap	3293	403	185	862570.00	0.4591	100	Scott H. Peters	H2CA52089	Representative
737cb828-f289-4dda-9508-792e366c5a26	John Joyce	Representative	elected	PA	H8PA13125	REFUSE-weak-overlap	1777	421	163	815145.00	0.3872	26	David P. Joyce	H2OH14064	Representative
857e54c2-a43c-498f-8128-34ca6adbb14f	Susheela Jayapal	Candidate for Representative	candidate	OR	H4OR03150	REFUSE-dormant	836	836	815	790759.00	0.9749	24	Pramila Jayapal	H6WA07458	Representative
6a8536b9-811f-4ad2-b7bb-601ade45764f	Robin L. Kelly	Representative	elected	IL	H2IL02172	REFUSE-weak-overlap	2871	359	165	744550.00	0.4596	106	Mike Kelly	H0PA03271	Representative
c598ba36-ab42-462b-80c4-9b6d6fcad056	Bennie G. Thompson	Representative	elected	MS	H4MS02068	REFUSE-weak-overlap	1833	357	135	719500.00	0.3782	57	Mike Thompson	H8CA01109	Representative
a8beedce-d116-42e2-8416-140485446c89	Jeff Hurd	Representative	elected	CO	H4CO03357	REFUSE-weak-overlap	3137	694	694	714666.00	1.0000	2102	William Hurd	P40014011	Candidate for President
74349a45-3cad-4f5a-9638-fb850bbec59d	Michael R. Turner	Representative	elected	OH	H2OH03067	REFUSE-weak-overlap	1711	365	365	711565.00	1.0000	42	Sylvester Turner	H4TX18237	Candidate for Representative
e7fccd57-9406-452a-a96b-10384765418e	Scott H. Peters	Representative	elected	CA	H2CA52089	REFUSE-weak-overlap	2078	403	143	705185.00	0.3548	43	Gary Peters	S4MI00355	Candidate for Senator
ea1e5a06-9402-4631-ada5-19144cc91aa4	Carol Miller	Candidate for Representative	candidate	WV	H8WV03097	REFUSE-weak-overlap	1007	209	185	680526.00	0.8852	4	Max L. Miller	H2OH16051	Representative
638571dc-dec4-4df6-98da-3bce61170451	Blake Moore	Candidate for Representative	candidate	UT	H0UT01205	REFUSE-weak-overlap	1122	198	150	674250.00	0.7576	7	Gwen Moore	H4WI04183	Representative
5f1e037c-1d69-4617-b5b7-1448869d3482	Dusty Johnson	Representative	elected	SD	H8SD01055	REFUSE-weak-overlap	3802	346	178	658600.00	0.5145	27	Mike Johnson	H6LA04138	Representative
48d00a31-e153-4503-9e8a-5519739fb8e5	Mike Thompson	Representative	elected	CA	H8CA01109	REFUSE-weak-overlap	4126	299	116	656899.00	0.3880	72	Glenn Thompson	H8PA05071	Representative
5cc3a04d-7a24-4472-9e32-ac5e07c9c532	Earl L. "Buddy" Carter	Representative	elected	GA	H4GA01039	REFUSE-weak-overlap	3383	290	129	654059.00	0.4448	95	John R. Carter	H2TX31044	Representative
d2480a58-f032-4ab6-aca1-1f8b4919cf9a	Garret Graves	Candidate for Representative	candidate	LA	H4LA06153	REFUSE-weak-overlap	2440	626	149	638400.00	0.2380	12	Sam Graves	H0MO06073	Representative
33027a2f-dbeb-4bae-b79b-a740c5ac76bd	Barbara Lee	Candidate for Representative	candidate	CA	H8CA09060	REFUSE-weak-overlap	1267	162	150	627100.00	0.9259	17	Susie Lee	H6NV04020	Representative
ecc1ff46-7f16-45d0-bbfe-87e6fd8d191d	Elijah Crane	Representative	elected	AZ	H2AZ01354	REFUSE-weak-overlap	3398	169	168	605719.00	0.9941	3078	Michael Crane	H0GA13032	Candidate for Representative
d9bb22a8-efeb-40f0-b2a9-3fb4cac91502	Sara Jacobs	Representative	elected	CA	H8CA49074	REFUSE-weak-overlap	1263	199	194	596675.00	0.9749	111	Christopher Jacobs	H0NY27090	Candidate for Representative
1f7033e4-bfa5-409b-9011-58e5e6efe93a	Kamala Harris	Candidate for President	candidate	US	P00009423	REFUSE-weak-overlap	308875	411	243	590334.00	0.5912	13559	Shawn Harris	H4GA14057	Candidate for Representative
b7a5d478-7d3a-4f07-bc08-22afd56b071f	Brandon Gill	Representative	elected	TX	H4TX26149	REFUSE-weak-overlap	1298	354	354	587700.00	1.0000	540	Brendan Gill	H6NJ11237	Candidate for Representative
3b45485d-1f5b-44ad-be7c-ec2233fa3808	Alexander Vindman	Candidate for Senator	candidate	FL	S6FL00855	REFUSE-low-share	3329	3083	326	583701.00	0.1057	3	Eugene Simon Vindman	H4VA07234	Representative
255713e8-fc47-4250-9652-ea88d96c75eb	Earl Carter	Candidate for Representative	candidate	GA	H4GA01039	REFUSE-weak-overlap	584	164	137	574108.00	0.8354	1	Troy A. Carter	H2LA02149	Representative
0ccd2655-f1c7-4716-b55a-d72991a6fa8f	Robin Kelly	Candidate for Representative	candidate	IL	H2IL02172	REFUSE-weak-overlap	461	153	141	563775.00	0.9216	1	Mike Kelly	H0PA03271	Representative
5c52e3ca-3986-41c1-89f1-b2b27d099c5a	Tim Scott	Senator	elected	SC	S4SC00240	REFUSE-weak-overlap	17356	305	186	561861.00	0.6098	68	Rick Scott	S8FL00273	Senator
b9a30221-fc9a-469e-bc5b-0a1e5d632fe4	Anthony Gonzalez	Candidate for Representative	candidate	OH	H8OH16124	REFUSE-weak-overlap	1050	223	137	560300.00	0.6143	23	Vicente Gonzalez	H6TX15162	Representative
d758a091-fa36-47d4-b2b0-e264d41f1fc2	Sherrod Brown	Candidate for Senator	candidate	OH	S6OH00163	REFUSE-weak-overlap	48651	259	110	528000.00	0.4247	187	M Brown	H2OH11169	Candidate for Representative
68ccfb27-db44-4ffe-a800-b6fce5e60604	Glenn Thompson	Representative	elected	PA	H8PA05071	REFUSE-weak-overlap	3282	299	99	526376.00	0.3311	25	Mike Thompson	H8CA01109	Representative
2d4b9674-f759-44db-a8f2-0d6842012470	Markwayne Mullin	Candidate for Senator	candidate	OK	S2OK00186	REFUSE-weak-overlap	2770	1311	238	525650.00	0.1815	52	Kevin Mullin	H2CA14162	Representative
9334b652-2fe2-466f-b5ab-b8afbcd8f4bb	Mike Kelly	Representative	elected	PA	H0PA03271	REFUSE-weak-overlap	2152	359	110	504549.00	0.3064	86	Robin L. Kelly	H2IL02172	Representative
aeeb1dd5-c6fe-4d29-b3c7-edc4f85032b0	Mike D. Rogers	Representative	elected	AL	H2AL03032	REFUSE-weak-overlap	2924	248	80	501360.00	0.3226	79	Harold Rogers	H0KY05015	Representative
b6091767-7b9a-4abc-a876-446fc3198e45	Kelly Morrison	Representative	elected	MN	H4MN03118	REFUSE-weak-overlap	2131	515	515	498287.00	1.0000	81	Kevin Morrison	H6IL08238	Candidate for Representative
84425497-5021-493f-b0ed-24ab456762a8	Max Miller	Candidate for Representative	candidate	OH	H2OH16051	REFUSE-weak-overlap	379	183	167	497999.00	0.9126	4	Carol D. Miller	H8WV03097	Representative
