# NOT AN AUTHORISATION. Added by hand (cc-126), above the header the audit
# writes, which says the opposite by default. These two manifests were cut as
# FIX-1182 experiment (2) -- to decompose FIX-1106 per source -- and NO apply is
# sanctioned against either. The apply is blocked on [[FIX-1182]] until a second
# complete emit run exists (Sun 2026-09-20). Re-cut against the current emit set
# before anything is ever applied from this slice.
# FIX-1106 emit-set residue manifest -- prod -- generated 2026-09-14T04:21:22.878Z
# cycle=2026 source=fec_bulk_pac run_id=0bda0cbe-8d98-550d-9945-a25ccc1dd722 complete_at=2026-09-14 00:23:01.687411+00
# emit set 111,890 keys; slice 134,652 rows / $506,122,862
# DROPPED-OUT 134 recipients / 20165 rows / $70,305,398
# PARTIAL     153 recipients / 2597 rows / $10,015,990
# This file is an AUTHORISATION, not a description. The apply re-checks every
# row-level fact keyed on these ids and SKIPS anything that grew since.
class	to_type	to_id	name	rows	cents	last_write	emitted_rows
DROPPED-OUT	official	e0f2f94d-593f-4227-a9f6-399eec8c4f95	John Mannion	247	74868000	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	31830d8c-6e04-417a-a138-5d4b77f774be	Angela Craig	211	70310000	2026-05-11 05:13:59.534312+00	0
DROPPED-OUT	official	d153a85f-c302-4d39-b12d-e7a48e28e663	Gus Bilirakis	231	68495000	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	526c3ff2-b622-4f96-bccb-69a2f003191c	Gabriel Vasquez	217	67867500	2026-05-11 05:14:00.159016+00	0
DROPPED-OUT	official	b7da3e46-a86d-4e43-875a-9696e508bb07	Robert Menendez	226	66219900	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	69492cbb-c4fa-4607-8bf1-36cb82f447b6	Hillary Scholten	197	62890000	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	e624037b-ed42-4bd6-b4e0-1de03c1e4690	Sylvia Garcia	206	62830000	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	618e4c57-3e09-4299-9dae-b0b3a1edafab	Jodey Arrington	250	62500000	2026-07-28 05:23:45.254254+00	0
DROPPED-OUT	official	f110cdfe-3661-4c0e-b975-7076f5db43ac	James Clyburn	176	62213400	2026-07-28 05:23:53.501267+00	0
DROPPED-OUT	official	bed92332-9eb8-46b0-a60f-eb18bef8ef86	Michael Simpson	189	61500000	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	255713e8-fc47-4250-9652-ea88d96c75eb	Earl Carter	172	60857500	2026-05-11 05:13:58.935955+00	0
DROPPED-OUT	official	07444ea1-b2c8-457c-a6cf-980cf81aab57	Vernon Buchanan	183	60800000	2026-05-11 05:13:58.337971+00	0
PARTIAL	official	9e8dbddd-74d1-4d04-90b2-4682db860b6d	Haley M. Stevens	101	60175100	2026-05-10 06:06:56.645413+00	153
DROPPED-OUT	official	8f8ea393-5a74-4d04-bce1-82058b730831	Charles Fleischmann	169	59325100	2026-07-28 05:24:02.08605+00	0
DROPPED-OUT	official	93d57e4b-6401-44c7-a1ed-2ef36fb4f1a0	Valerie Hoyle	155	58557400	2026-07-28 05:23:53.501267+00	0
DROPPED-OUT	official	04ae1610-c123-4fde-b3e9-b938d4d28629	Donald Bacon	186	56655000	2026-05-11 05:13:56.38946+00	0
