# FIX-937 — non-federal-role officials carrying an FEC H/S/P CAND_ID (INACTIVE, prod, 2026-09-05)
# 115 officials, 62 holding fec_bulk donation rows
# 2,590 rows / $4,459,571.00
# with a federal official legitimately holding the same CAND_ID: 62
#
# A Council Member / Article III judge cannot stand for federal office, so the
# carried CAND_ID is not theirs and these donation rows are another person's money.
# REMEDIATION goes through the FIX-954 machinery (audit -> manifest -> apply ->
# rollup tail), NEVER a bare DELETE — the deleted rows' recipients must go dirty
# so jobid 24's donor-rollup regime rebuilds them.
#
official_id	full_name	role_title	tier	is_active	jurisdiction	carried_cand_id	federal_owner_id	federal_owner_name	federal_owner_role	fec_rows	fec_cents	cycles	first_at	last_at
354a140c-950b-4bbe-a6a8-485e26fb98ae	Eric Stockton	Council Member	elected	false	AUS	H4FL06055	ce2547aa-925a-46e4-8634-8fc6f421fe6e	James Stockton	Candidate for Representative	23	1585000	2	2024-04-03	2025-03-23
62831aa5-7d58-45d5-bb1c-b3758ff54523	Karen Bowers	Council Member	elected	false	AUS	H4TX32147	aca188cd-46fc-4106-aeeb-d371a6aa10a3	Rhetta Bowers	Candidate for Representative	31	1555000	1	2023-09-19	2023-09-30
c74a2ac0-c1b8-4526-9022-0ce6464c05fc	Jill Goodman	Council Member	elected	false	AUS	S6IL00425	0ebbe4e8-2afd-4344-8ab2-c96254461a30	John Goodman	Candidate for Senator	13	1548300	1	2025-02-22	2025-08-29
43ee1bdc-97e7-4641-a8ff-90b701f0877c	Sue Blackman	Council Member	elected	false	SF	H2AZ01339	0263ab44-b500-4fb3-9cfe-a972ccf908b4	Walter Blackman	Candidate for Representative	4	1500000	1	2021-09-29	2022-04-27
9e99cae2-0330-4997-9552-254657cfaadd	Monica Miranda	Council Member	elected	false	AUS	H6CA47072	2fba68c1-6fa8-4eb7-9f7f-2e4b51d9037b	Hunter Miranda	Candidate for Representative	6	1235400	1	2025-05-27	2025-12-15
a9ec94d8-72ad-4d71-b60f-d29efbcb5d2b	Jay Nath	Council Member	elected	false	SF	H4WI04282	86982ada-e389-4b30-9bae-2172d3d8d74b	Purnima Nath	Candidate for Representative	21	1171200	1	2024-03-15	2024-09-11
346fabb6-fb16-4dca-8203-572333cc44b7	Jordan Feldman	Council Member	elected	false	AUS	H4NC10146	24e0596f-75a0-4c97-9976-3dd9e1fd71fb	Steven Feldman	Candidate for Representative	19	1150500	2	2024-03-26	2026-01-16
ee09025f-9725-4e29-9198-7d7eee8cb1c6	Starr Terrell	Council Member	elected	false	SF	H6IA01171	93ef269d-13d1-4471-8576-a968b65b0b6e	Travis Terrell	Candidate for Representative	4	1082500	1	2025-07-10	2025-09-30
f590f383-5e5b-4e36-9299-af40602cf5b4	Janell Wegman	Council Member	elected	false	SF	H6PA16338	67794597-cc1b-424a-bc6f-04e48ec91cc9	Gary Wegman	Candidate for Representative	2	1000000	1	2020-10-21	2020-10-23
f9c370ec-f992-45f8-bbc1-b4a0b23e2bb8	Dominica Henderson	Council Member	elected	false	SF	H4OH02263	2d97645c-3d46-4ad4-abcc-a7d70332a2da	Matthew Henderson	Candidate for Representative	5	875000	2	2020-03-03	2024-01-18
f04faa85-2feb-4967-b921-c6b1dd125832	Quynh Pham	Council Member	elected	false	SEA	H4CA45154	7b63444a-5e59-45a8-8af7-af1ca1128de1	Jimmy Pham	Candidate for Representative	6	836100	1	2023-04-28	2023-09-30
d93454b4-36e2-4311-8f8c-3828e9c696cc	Sharon Patterson	Council Member	elected	false	AUS	H6TX17119	5ce10a54-51f4-470a-bb29-3960f9f6818a	William Patterson	Candidate for Representative	6	748000	1	2019-09-27	2020-10-21
65eb956f-b5ee-438f-964c-339301201dd0	Brent Lo	Council Member	elected	false	SEA	H0MN04197	68e5f14b-d4f5-49d7-bfd3-6af13c00ce30	Sia Lo	Candidate for Representative	2	700000	1	2020-05-06	2020-08-08
