branch	decided_by	official_id	full_name	tier	is_active	role_title	jurisdiction	stored_fec_id	totals_table_cents	donation_cents	donation_rows	first_at	last_at	twin_id	twin_name	twin_tier	twin_fec_id	twin_fec_state	state_agrees	twin_total_cents	shared_pairs	overlap_frac
UNIQUE HOLDER		3a1a8054-b9e2-473c-a621-52c30e596188	Donna Hall	elected	false	Council Member	SF	H4DE00060	3006800	3006800	38	2023-12-05	2024-09-08	a7c210ba-135d-4b5a-8cb3-3ee99e28b6dc	Donyale Hall	candidate	H4DE00060	DE	false	3006800	38	1.0000
UNIQUE HOLDER		04f47f04-edb5-4e0f-8089-c120e044fa4c	Marisela Reyes	elected	false	Council Member	AUS	H0TX23177	2675000	2675000	10	2020-07-10	2021-08-27	f413877b-4dde-4970-b88e-6bfe3a59da17	Victor Reyes	candidate	H2NM01177	NM	false	14176000	9	0.9000
UNIQUE HOLDER		cf441a28-aaf4-4e22-ac74-1f445e822f78	Kara Stoll	elected	true	Federal Judge	US		2615000	2615000	15	2022-02-17	2022-04-11	d7832e8d-9ef5-4c31-9334-9c70c970df35	Matthew Stoll	candidate	H2CA22249	CA	false	21845000	15	1.0000
UNIQUE HOLDER		45bcff8a-7db1-4fcf-8607-f4edfb4bad2e	Britt Grant	elected	true	Federal Judge	US		2461900	2461900	27	2020-01-30	2026-03-23	f275566c-7f30-44c2-af91-7765eeb06d30	Madaris Grant	candidate	H6OH08364	OH	false	1961900	26	0.9630
UNIQUE HOLDER		d277388a-1207-49b5-ad69-6afab5957089	Sandra O'Connor	elected	true	Federal Judge	US		2275000	2275000	3	2020-07-16	2021-06-28	fd52a886-97ae-409f-81e5-60b20351ba57	Kevin O'Connor	candidate	S0MA00232	MA	false	2125000	2	0.6667
UNIQUE HOLDER		da3b41c2-5923-49a0-8686-838411fccf80	Carole Reynolds	elected	false	Council Member	AUS	H6TX11112	2249400	2249400	20	2025-12-07	2026-02-07	3e0e6fed-a88a-420d-959f-f2e63e538df7	Claire Reynolds	candidate	H6TX11112	TX	false	6295400	20	1.0000
UNIQUE HOLDER		193a4a25-e6a5-4743-a47c-243a42e7a539	Ciara Ortiz	elected	false	Council Member	SEA	H6NY12297	2219900	2219900	25	2023-12-02	2024-03-03	348d7b7e-fdc7-4085-901c-aeadfac4d32c	Oscar Ortiz	candidate	H4CA25248	CA	false	2219900	25	1.0000
UNIQUE HOLDER		412719f4-2ddc-4bd3-bbbb-f0a3caef98b5	Kelsey Crowe	elected	false	Council Member	SF	H0TN01084	2150000	2150000	11	2020-04-23	2020-08-26	4ce825d9-c555-41c6-9dd3-84d39265cf06	Dewey Crowe	candidate	H0TN01084	TN	false	15138300	11	1.0000
UNIQUE HOLDER		2e4ee0fd-f4da-41e3-835d-09056a9af6b3	Jeffrey Sutton	elected	true	Federal Judge	US		2095600	2095600	9	2020-01-15	2020-06-08	2688ecf6-40dd-4bf9-9e9e-206791d07626	Lisa Sutton	candidate	H0NV04056	NV	false	1895600	8	0.8889
UNIQUE HOLDER		3184bde8-987b-4140-9859-94b57c5da040	Maria Su	elected	false	Council Member	SF	H6IL09210	1901500	1901500	5	2025-05-08	2025-12-31	0f98e458-0892-4e0a-8f8c-79f7d1794271	Dongbo Su	candidate	H6IL09210	IL	false	1901500	5	1.0000
UNIQUE HOLDER		a619c811-2d33-42e8-a91d-af49fc969e36	Ann Williams	elected	true	Federal Judge	US		1831100	1831100	19	2025-06-23	2026-01-27	9f83b963-f799-4f90-84a4-107b9d8b9848	Anna Williams	candidate	H6NJ11187	NJ	false	1831100	19	1.0000
UNIQUE HOLDER		8a4e1b00-fe98-49fc-aecd-327bec820908	Rebecca Duran	elected	false	Council Member	SEA	H0CO01136	1657100	1657100	2	2019-09-30	2020-03-30	23300f2a-3389-4415-b32b-42483487f0a5	Crisanta Duran	candidate	H0CO01136	CO	false	1657100	2	1.0000
UNIQUE HOLDER		db4e6705-9909-47a7-addb-465be4bf0448	Nabil Khazei	elected	false	Council Member	AUS	H0MA04176	1650000	1650000	6	2020-02-05	2022-05-23	534ede7e-8a05-4f75-8a25-1cef22bb0801	Alan Khazei	candidate	H0MA04176	MA	false	65394800	6	1.0000
UNIQUE HOLDER		354a140c-950b-4bbe-a6a8-485e26fb98ae	Eric Stockton	elected	false	Council Member	AUS	H4FL06055	1585000	1585000	23	2024-04-03	2025-03-23	ce2547aa-925a-46e4-8634-8fc6f421fe6e	James Stockton	candidate	H4FL06055	FL	false	1585000	23	1.0000
UNIQUE HOLDER		62831aa5-7d58-45d5-bb1c-b3758ff54523	Karen Bowers	elected	false	Council Member	AUS	H4TX32147	1555000	1555000	31	2023-09-19	2023-09-30	aca188cd-46fc-4106-aeeb-d371a6aa10a3	Rhetta Bowers	candidate	H4TX32147	TX	false	1555000	31	1.0000
UNIQUE HOLDER		c74a2ac0-c1b8-4526-9022-0ce6464c05fc	Jill Goodman	elected	false	Council Member	AUS	S6IL00425	1548300	1548300	13	2025-02-22	2025-08-29	0ebbe4e8-2afd-4344-8ab2-c96254461a30	John Goodman	candidate	S6IL00425	IL	false	1548300	13	1.0000
UNIQUE HOLDER		43ee1bdc-97e7-4641-a8ff-90b701f0877c	Sue Blackman	elected	false	Council Member	SF	H2AZ01339	1500000	1500000	4	2021-09-29	2022-04-27	0263ab44-b500-4fb3-9cfe-a972ccf908b4	Walter Blackman	candidate	H2AZ01339	AZ	false	47209000	4	1.0000
UNIQUE HOLDER		9e99cae2-0330-4997-9552-254657cfaadd	Monica Miranda	elected	false	Council Member	AUS	H6CA47072	1235400	1235400	6	2025-05-27	2025-12-15	2fba68c1-6fa8-4eb7-9f7f-2e4b51d9037b	Hunter Miranda	candidate	H6CA47072	CA	false	1662800	6	1.0000
UNIQUE HOLDER		a9ec94d8-72ad-4d71-b60f-d29efbcb5d2b	Jay Nath	elected	false	Council Member	SF	H4WI04282	1171200	1171200	21	2024-03-15	2024-09-11	86982ada-e389-4b30-9bae-2172d3d8d74b	Purnima Nath	candidate	H4WI04282	WI	false	1171200	21	1.0000
