class	name_signal	survivor	role_title	state	district	surv_fec	stub	stub_fec	stub_rows	stub_cents_all	stub_cents_donation	surv_rows	surv_cents_donation	collide_keys	collide_frac_of_stub	stub_votes	stub_external_rels	stub_ec_nonmoney	surv_id	stub_id
A-double-claim	agrees	Ryan K. Zinke	Representative	MT	1	H4MT01041	Ryan Zinke	H4MT01041	300	650198634	99493000	4333	673411700	300	1.0000	0	0	0	73dc0acf-c8a3-48e3-a7ae-f6071962cb4a	14e1930a-035f-4877-8ee3-d8ca5af1a14e
A-double-claim	agrees	Hillary J. Scholten	Representative	MI	3	H0MI03316	Hillary Scholten	H0MI03316	1364	595663506	308604900	6127	995637300	1356	0.9941	0	0	0	67e0e5f3-c20e-439b-b8c9-2e804aecf1df	69492cbb-c4fa-4607-8bf1-36cb82f447b6
A-double-claim	agrees	Daniel S. Goldman	Representative	NY	10	H2NY10308	Daniel Goldman	H2NY10308	2461	583134000	530776200	5055	1035120200	2461	1.0000	0	0	0	39f916d7-ced4-4d93-aa61-768cd37bca10	f39d5ef5-9585-43e6-92e9-95517dd984dd
A-double-claim	agrees	Gabe Vasquez	Representative	NM	2	H2NM02191	Gabriel Vasquez	H2NM02191	595	580464456	206976200	6867	1059174600	595	1.0000	0	0	0	b702d04f-3e0d-4a0e-8ec9-4448f9f293c0	526c3ff2-b622-4f96-bccb-69a2f003191c
A-double-claim	agrees	Robert F. Onder	Representative	MO	3	H4MO03221	Robert Onder	H4MO03221	97	567567936	24100000	661	170453800	97	1.0000	0	0	0	f7ca909b-38d6-408a-a045-4bd6c6c8e840	d9fc5b37-9a15-4015-860d-801a0a2a4a74
A-double-claim	agrees	Robert Menendez	Representative	NJ	8	H2NJ08232	Robert Menendez	H2NJ08232	1122	555010362	241620300	5278	980739300	1122	1.0000	0	0	0	ac7de9f0-be89-4def-8143-3597908f9658	b7da3e46-a86d-4e43-875a-9696e508bb07
A-double-claim	agrees	Tim Scott	Senator	SC	0	S4SC00240	Timothy Scott	S4SC00240	575	533727662	169948100	17418	3029513900	575	1.0000	0	0	37	5c52e3ca-3986-41c1-89f1-b2b27d099c5a	dc1b3e4c-4ba0-481f-abfd-ee911954baab
A-double-claim	agrees	Shelley Moore Capito	Senator	WV	0	S4WV00159	Shelley Capito	S4WV00159	1881	527622492	492874000	3020	843193100	1880	0.9995	0	0	34	32388aeb-d379-4297-be5c-3ea5e46ff3ea	67069dc0-8111-4b73-bb09-c0800c41c4e9
A-double-claim	agrees	Katherine M. Clark	Representative	MA	5	H4MA05084	Katherine Clark	H4MA05084	1306	496274800	496224800	3463	961489900	1305	0.9992	0	0	0	9220a26b-93a6-4b7c-bd29-acfb2544ba97	a6ba6b9c-0f7b-4767-bee8-4f7d8d2c6b42
A-double-claim	agrees	Blake D. Moore	Representative	UT	1	H0UT01205	Blake Moore	H0UT01205	1127	490774244	386549100	2468	687518700	1127	1.0000	0	0	0	4ae687b8-dd8a-480e-b6c4-45df9beac5d4	638571dc-dec4-4df6-98da-3bce61170451
A-double-claim	agrees	Angie Craig	Representative	MN	2	H6MN02131	Angela Craig	H6MN02131	788	447895801	299533500	11290	2181818400	788	1.0000	0	0	0	fb83472a-2d41-4988-8ed0-dd19cf6e0946	31830d8c-6e04-417a-a138-5d4b77f774be
A-double-claim	agrees	Frank J. Mrvan	Representative	IN	1	H0IN01150	Frank Mrvan	H0IN01150	1112	420103856	292629400	3488	677746400	1109	0.9973	0	0	0	7c4cd5a7-bdb3-414e-b67d-471de90dec13	d8f24b31-4ff6-4179-b6b2-52c83629647d
A-double-claim	agrees	Jeff Hurd	Representative	CO	3	H4CO03357	Jeffrey Hurd	H4CO03357	1090	416962067	262597000	3194	607302600	1090	1.0000	0	0	0	a8beedce-d116-42e2-8416-140485446c89	bf66cecd-2ded-4fa7-9b9a-85fd83a730ca
A-double-claim	agrees	Cory A. Booker	Senator	NJ	0	S4NJ00185	Cory Booker	S4NJ00185	4483	406080100	406080100	7529	782608700	4483	1.0000	0	0	28	6b2fea3f-b5fb-4903-b57a-2c6a5ae0401e	77e796df-611e-4a93-940f-a1cbade90b0f
A-double-claim	agrees	Val T. Hoyle	Representative	OR	4	H2OR04095	Valerie Hoyle	H2OR04095	755	398114014	218590300	2990	545533900	755	1.0000	0	0	0	61380691-3fd3-4759-8b8c-9187547354d1	93d57e4b-6401-44c7-a1ed-2ef36fb4f1a0
A-double-claim	agrees	Michael K. Simpson	Representative	ID	2	H8ID02064	Michael Simpson	H8ID02064	707	380147407	193330000	2110	477151400	706	0.9986	0	0	0	0ab4c5ec-0dd0-453e-9d32-b7f6a72cc54b	bed92332-9eb8-46b0-a60f-eb18bef8ef86
A-double-claim	agrees	Andrew Ogles	Representative	TN	5	H2TN05446	Andy Ogles	H2TN05446	284	377300149	68234800	1131	239093400	284	1.0000	0	0	0	43ab79ec-bf25-4e9a-a3b3-79694bb04161	da4705f5-ff03-4539-a9e0-f11eec910717
A-double-claim	agrees	Maria Elvira Salazar	Representative	FL	27	H8FL27185	Maria Salazar	H8FL27185	576	376608509	195759400	2822	758055000	572	0.9931	0	0	0	caf06963-e606-48b8-b5cc-a64904bb9ba8	f03e889b-ce39-4d91-bcad-caa0f7c79aa8
A-double-claim	agrees	Sam T. Liccardo	Representative	CA	16	H4CA16197	Sam Liccardo	H4CA16197	74	371338256	21761000	3490	842687900	74	1.0000	0	0	0	36cf9142-1a65-425d-80c4-34c1e41b59f5	206c808f-b1a1-4ef9-b517-20322bfff055
A-double-claim	agrees	Terri A. Sewell	Representative	AL	7	H0AL07086	Terri Sewell	H0AL07086	875	337799692	331034000	3438	906750400	875	1.0000	0	0	0	c436717f-bf4a-489d-b8f5-192f88139700	75f40cec-b911-4e9d-87a4-826c4cf03ae8
A-double-claim	agrees	Josh Hawley	Senator	MO	0	S8MO00160	Joshua Hawley	S8MO00160	258	333267711	91053400	8275	762509200	257	0.9961	0	0	35	1b02877c-770a-4e88-8639-4265bdf69caf	3fc254ed-e29e-4315-8a19-98dfc8af2857
A-double-claim	agrees	Delia C. Ramirez	Representative	IL	3	H2IL03162	Delia Ramirez	H2IL03162	801	326218187	153234700	1922	285792500	801	1.0000	0	0	0	2ba4d741-5a44-4535-ac97-652ae093fc64	43c75821-21c9-45be-bfa5-8b758fd964a8
A-double-claim	agrees	Troy A. Carter	Representative	LA	2	H2LA02149	Troy Carter	H2LA02149	755	320531944	212197500	2883	630563000	755	1.0000	0	0	0	2db0be0c-5a36-4c50-bf62-305047f34036	4e02dac9-3175-4ab9-ab5d-589f16fb735b
A-double-claim	agrees	Sam Graves	Representative	MO	6	H0MO06073	Samuel Graves	H0MO06073	890	320508200	320508200	2699	785484000	890	1.0000	0	0	0	4ff7bf63-97d7-4ea6-978a-dee5ab277420	b4cc5a22-9d33-4146-9d81-7cc6e5ff2124
A-double-claim	agrees	John B. Larson	Representative	CT	1	H8CT01046	John Larson	H8CT01046	1091	316875800	311075800	2623	684407200	1091	1.0000	0	0	0	0f9cf8f9-c40a-4b1b-9742-467595ce8602	35cf5443-5559-4ce9-9a81-5e1a93edebb3
